angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[521, 167, 284, 348]",,0.0,,0.01,,0.0,,0.6,,0.38,,0.0,
0.01,,"[523, 168, 274, 344]",,0.0,,0.02,,0.0,,0.77,,0.21,,0.0,
0.0,,"[523, 165, 275, 346]",,0.0,,0.01,,0.0,,0.89,,0.09,,0.0,
0.0,,"[524, 164, 274, 348]",,0.0,,0.02,,0.0,,0.86,,0.12,,0.0,
0.0,,"[524, 166, 273, 345]",,0.0,,0.02,,0.0,,0.85,,0.13,,0.0,
0.0,,"[523, 166, 274, 344]",,0.0,,0.01,,0.0,,0.89,,0.1,,0.0,
0.0,,"[524, 168, 271, 341]",,0.0,,0.02,,0.0,,0.87,,0.11,,0.0,
0.01,,"[523, 163, 277, 347]",,0.0,,0.04,,0.0,,0.87,,0.09,,0.0,
0.0,,"[523, 165, 275, 345]",,0.0,,0.03,,0.0,,0.86,,0.1,,0.0,
0.01,,"[523, 165, 275, 346]",,0.0,,0.04,,0.0,,0.81,,0.14,,0.0,
0.0,,"[522, 166, 274, 344]",,0.0,,0.03,,0.0,,0.86,,0.11,,0.0,
0.01,,"[521, 166, 275, 344]",,0.0,,0.04,,0.0,,0.81,,0.14,,0.0,
0.01,,"[521, 166, 274, 343]",,0.0,,0.03,,0.0,,0.82,,0.14,,0.0,
0.0,,"[520, 168, 275, 339]",,0.0,,0.02,,0.0,,0.88,,0.09,,0.0,
0.0,,"[519, 168, 276, 339]",,0.0,,0.03,,0.0,,0.86,,0.1,,0.0,
0.01,,"[521, 170, 272, 338]",,0.0,,0.04,,0.01,,0.77,,0.17,,0.0,
0.01,,"[521, 169, 273, 338]",,0.0,,0.04,,0.0,,0.72,,0.22,,0.0,
0.01,,"[521, 172, 273, 333]",,0.0,,0.04,,0.01,,0.7,,0.24,,0.0,
0.01,,"[520, 170, 273, 335]",,0.0,,0.03,,0.01,,0.81,,0.14,,0.0,
