angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,,"[447, 192, 325, 434]",,0.0,,0.07,,0.0,,0.6,,0.29,,0.01,
0.05,,"[447, 190, 330, 439]",,0.0,,0.09,,0.01,,0.36,,0.48,,0.01,
0.06,,"[451, 190, 335, 443]",,0.0,,0.29,,0.01,,0.36,,0.26,,0.02,
0.04,,"[451, 189, 341, 450]",,0.0,,0.26,,0.0,,0.35,,0.29,,0.06,
0.04,,"[457, 194, 336, 444]",,0.0,,0.23,,0.02,,0.45,,0.17,,0.11,
0.06,,"[456, 190, 337, 452]",,0.0,,0.14,,0.01,,0.41,,0.36,,0.02,
0.05,,"[453, 186, 344, 464]",,0.0,,0.18,,0.01,,0.2,,0.54,,0.02,
0.06,,"[446, 186, 353, 473]",,0.0,,0.07,,0.02,,0.34,,0.5,,0.01,
0.03,,"[453, 188, 343, 458]",,0.0,,0.08,,0.0,,0.54,,0.34,,0.0,
0.02,,"[443, 186, 354, 466]",,0.0,,0.03,,0.0,,0.61,,0.34,,0.0,
0.05,,"[443, 189, 345, 455]",,0.0,,0.03,,0.0,,0.71,,0.21,,0.0,
0.14,,"[446, 190, 338, 459]",,0.0,,0.07,,0.01,,0.51,,0.2,,0.07,
0.2,,"[443, 189, 341, 462]",,0.0,,0.1,,0.05,,0.27,,0.16,,0.23,
0.07,,"[448, 188, 342, 456]",,0.0,,0.2,,0.03,,0.27,,0.11,,0.32,
0.0,,"[448, 193, 344, 447]",,0.0,,0.04,,0.01,,0.06,,0.01,,0.88,
0.01,,"[441, 192, 356, 460]",,0.0,,0.16,,0.01,,0.1,,0.06,,0.66,
0.02,,"[436, 210, 355, 447]",,0.0,,0.09,,0.02,,0.59,,0.26,,0.02,
0.05,,"[442, 190, 336, 453]",,0.0,,0.08,,0.05,,0.28,,0.51,,0.01,
0.04,,"[439, 194, 334, 453]",,0.0,,0.04,,0.03,,0.42,,0.48,,0.0,
0.08,,"[435, 194, 346, 463]",,0.0,,0.11,,0.06,,0.31,,0.28,,0.16,
0.08,0.18,"[427, 185, 349, 479]","[782, 186, 40, 44]",0.0,0.0,0.13,0.05,0.05,0.08,0.29,0.31,0.4,0.38,0.05,0.0
0.12,,"[430, 187, 344, 474]",,0.0,,0.23,,0.01,,0.26,,0.36,,0.02,
0.05,,"[435, 187, 360, 471]",,0.0,,0.16,,0.0,,0.41,,0.36,,0.02,
0.05,,"[438, 190, 348, 463]",,0.0,,0.06,,0.0,,0.65,,0.24,,0.0,
0.04,,"[439, 194, 346, 462]",,0.0,,0.03,,0.0,,0.54,,0.39,,0.0,
0.02,,"[441, 194, 343, 459]",,0.0,,0.02,,0.0,,0.71,,0.25,,0.0,
0.03,,"[443, 189, 344, 457]",,0.0,,0.02,,0.0,,0.73,,0.21,,0.0,
0.01,,"[443, 198, 346, 435]",,0.0,,0.01,,0.0,,0.85,,0.12,,0.01,
0.02,,"[445, 186, 350, 468]",,0.0,,0.03,,0.0,,0.65,,0.29,,0.01,
0.05,,"[444, 188, 350, 461]",,0.0,,0.05,,0.01,,0.44,,0.45,,0.0,
0.02,,"[443, 190, 351, 462]",,0.0,,0.06,,0.01,,0.45,,0.45,,0.01,
0.02,,"[446, 196, 337, 448]",,0.0,,0.08,,0.0,,0.59,,0.3,,0.01,
0.03,,"[443, 189, 342, 459]",,0.0,,0.13,,0.01,,0.19,,0.63,,0.01,
0.04,,"[446, 197, 330, 440]",,0.0,,0.05,,0.17,,0.21,,0.51,,0.01,
0.03,,"[446, 196, 329, 439]",,0.0,,0.02,,0.39,,0.16,,0.38,,0.02,
0.06,,"[439, 191, 341, 455]",,0.0,,0.03,,0.16,,0.03,,0.67,,0.05,
0.07,,"[441, 195, 341, 454]",,0.0,,0.06,,0.18,,0.14,,0.52,,0.03,
0.08,,"[439, 195, 339, 453]",,0.0,,0.04,,0.12,,0.25,,0.5,,0.01,
0.05,,"[440, 196, 340, 452]",,0.0,,0.05,,0.12,,0.31,,0.46,,0.01,
0.01,,"[442, 200, 337, 438]",,0.0,,0.04,,0.03,,0.66,,0.22,,0.04,
0.01,,"[442, 201, 341, 452]",,0.0,,0.15,,0.02,,0.35,,0.26,,0.22,
0.01,,"[434, 197, 347, 452]",,0.0,,0.14,,0.02,,0.3,,0.27,,0.26,
0.03,,"[439, 199, 343, 465]",,0.0,,0.19,,0.01,,0.1,,0.6,,0.07,
0.06,,"[437, 199, 345, 468]",,0.0,,0.41,,0.03,,0.02,,0.36,,0.12,
0.05,,"[434, 198, 347, 469]",,0.0,,0.41,,0.02,,0.02,,0.29,,0.21,
0.05,,"[433, 196, 349, 467]",,0.0,,0.29,,0.11,,0.03,,0.25,,0.27,
0.01,,"[433, 191, 348, 455]",,0.0,,0.2,,0.14,,0.4,,0.04,,0.21,
0.0,,"[433, 195, 342, 436]",,0.0,,0.08,,0.01,,0.8,,0.05,,0.05,
0.0,,"[431, 195, 344, 437]",,0.0,,0.08,,0.01,,0.81,,0.05,,0.04,
0.01,,"[430, 190, 356, 450]",,0.0,,0.08,,0.02,,0.68,,0.03,,0.17,
0.01,,"[429, 194, 352, 453]",,0.0,,0.13,,0.01,,0.7,,0.05,,0.09,
0.01,,"[433, 202, 353, 448]",,0.0,,0.18,,0.02,,0.16,,0.09,,0.54,
0.01,,"[431, 200, 355, 451]",,0.0,,0.07,,0.01,,0.08,,0.03,,0.79,
0.02,,"[431, 199, 357, 454]",,0.0,,0.12,,0.04,,0.35,,0.07,,0.4,
0.01,,"[432, 192, 349, 451]",,0.0,,0.04,,0.02,,0.39,,0.03,,0.52,
0.01,,"[430, 192, 360, 458]",,0.0,,0.06,,0.03,,0.54,,0.02,,0.33,
0.01,,"[430, 193, 358, 457]",,0.0,,0.07,,0.01,,0.29,,0.02,,0.59,
0.01,,"[427, 190, 359, 466]",,0.0,,0.07,,0.01,,0.25,,0.03,,0.64,
0.01,,"[423, 189, 359, 470]",,0.0,,0.17,,0.02,,0.35,,0.06,,0.38,
